train_acc_step,step,train_loss_step,epoch,val_seg_f1,val_seg_acc,val_seg_prec,val_loss,val_seg_rec,val_seg_auc,val_acc,train_loss_epoch,train_acc_epoch,test_seg_rec,test_event_avgPredSec,test_event_sens,test_seg_f1,test_seg_prec,test_seg_acc,test_event_p_value,test_seg_auc,test_event_FPR_per_h
0.40625,9,0.7025878429412842,0,,,,,,,,,,,,,,,,,,
0.515625,19,0.6917839646339417,0,,,,,,,,,,,,,,,,,,
,27,,0,0.0,0.5,0.0,0.6935179233551025,0.0,0.5222123456790123,0.5,,,,,,,,,,,
,27,,0,,,,,,,,0.6920413374900818,0.5206704139709473,,,,,,,,,
0.515625,29,0.6976613402366638,1,,,,,,,,,,,,,,,,,,
0.53125,39,0.6966793537139893,1,,,,,,,,,,,,,,,,,,
0.6875,49,0.6508466005325317,1,,,,,,,,,,,,,,,,,,
,55,,1,0.0,0.5,0.0,0.8315081000328064,0.0,0.5581956790123457,0.5,,,,,,,,,,,
,55,,1,,,,,,,,0.6670295596122742,0.6435754299163818,,,,,,,,,
0.953125,59,0.3998352587223053,2,,,,,,,,,,,,,,,,,,
0.953125,69,0.21963270008563995,2,,,,,,,,,,,,,,,,,,
0.8125,79,0.49316784739494324,2,,,,,,,,,,,,,,,,,,
,83,,2,0.0,0.5,0.0,2.9427433013916016,0.0,0.3996697530864198,0.5,,,,,,,,,,,
,83,,2,,,,,,,,0.30784115195274353,0.9256983399391174,,,,,,,,,
0.671875,89,0.6563018560409546,3,,,,,,,,,,,,,,,,,,
0.9375,99,0.4105452299118042,3,,,,,,,,,,,,,,,,,,
0.921875,109,0.22456477582454681,3,,,,,,,,,,,,,,,,,,
,111,,3,0.22878932316491898,0.5505555272102356,0.8053691275167785,1.6415536403656006,0.13333333333333333,0.5581703703703704,0.5505555272102356,,,,,,,,,,,
,111,,3,,,,,,,,0.49124380946159363,0.8139664530754089,,,,,,,,,
1.0,119,0.09892125427722931,4,,,,,,,,,,,,,,,,,,
0.90625,129,0.2854156494140625,4,,,,,,,,,,,,,,,,,,
0.9032257795333862,139,0.318928062915802,4,,,,,,,,,,,,,,,,,,
,139,,4,0.4655581947743468,0.625,0.8099173553719008,2.2776849269866943,0.32666666666666666,0.5538981481481482,0.625,,,,,,,,,,,
,139,,4,,,,,,,,0.19029328227043152,0.9418994188308716,,,,,,,,,
0.890625,149,0.30083343386650085,5,,,,,,,,,,,,,,,,,,
0.984375,159,0.0859500989317894,5,,,,,,,,,,,,,,,,,,
,167,,5,0.4653386454183267,0.6272222399711609,0.8225352112676056,2.731712818145752,0.3244444444444444,0.5710425925925926,0.6272222399711609,,,,,,,,,,,
,167,,5,,,,,,,,0.1546868234872818,0.951396644115448,,,,,,,,,
0.96875,169,0.1214267760515213,6,,,,,,,,,,,,,,,,,,
0.921875,179,0.23190367221832275,6,,,,,,,,,,,,,,,,,,
0.984375,189,0.08384796977043152,6,,,,,,,,,,,,,,,,,,
,195,,6,0.478125,0.6288889050483704,0.8052631578947368,2.9556119441986084,0.34,0.5935141975308642,0.6288889050483704,,,,,,,,,,,
,195,,6,,,,,,,,0.14661450684070587,0.9530726075172424,,,,,,,,,
0.921875,199,0.19372181594371796,7,,,,,,,,,,,,,,,,,,
0.9375,209,0.130841925740242,7,,,,,,,,,,,,,,,,,,
0.96875,219,0.06655183434486389,7,,,,,,,,,,,,,,,,,,
,223,,7,0.4807987711213518,0.6244444251060486,0.7786069651741293,2.950465202331543,0.3477777777777778,0.6313111111111112,0.6244444251060486,,,,,,,,,,,
,223,,7,,,,,,,,0.13511307537555695,0.9581005573272705,,,,,,,,,
0.875,229,0.30436375737190247,8,,,,,,,,,,,,,,,,,,
0.984375,239,0.09260431677103043,8,,,,,,,,,,,,,,,,,,
0.984375,249,0.06167861074209213,8,,,,,,,,,,,,,,,,,,
,251,,8,0.4791830322073841,0.6316666603088379,0.8176943699731903,3.2818429470062256,0.3388888888888889,0.620520987654321,0.6316666603088379,,,,,,,,,,,
,251,,8,,,,,,,,0.14256735146045685,0.9536312818527222,,,,,,,,,
0.953125,259,0.12069512158632278,9,,,,,,,,,,,,,,,,,,
0.96875,269,0.07835528254508972,9,,,,,,,,,,,,,,,,,,
0.9838709235191345,279,0.090413399040699,9,,,,,,,,,,,,,,,,,,
,279,,9,0.4675740592473979,0.6305555701255798,0.836676217765043,3.7398881912231445,0.3244444444444444,0.6012864197530864,0.6305555701255798,,,,,,,,,,,
,279,,9,,,,,,,,0.12851406633853912,0.9586592316627502,,,,,,,,,
0.96875,289,0.10427961498498917,10,,,,,,,,,,,,,,,,,,
0.96875,299,0.09976878762245178,10,,,,,,,,,,,,,,,,,,
,307,,10,0.478806907378336,0.6311110854148865,0.8155080213903744,3.573063850402832,0.3388888888888889,0.6395141975308642,0.6311110854148865,,,,,,,,,,,
,307,,10,,,,,,,,0.11507963389158249,0.9642457962036133,,,,,,,,,
0.9375,309,0.1448463499546051,11,,,,,,,,,,,,,,,,,,
0.953125,319,0.12164962291717529,11,,,,,,,,,,,,,,,,,,
0.96875,329,0.11343558877706528,11,,,,,,,,,,,,,,,,,,
,335,,11,0.44112769485903813,0.6255555748939514,0.869281045751634,4.398085117340088,0.29555555555555557,0.5851641975308642,0.6255555748939514,,,,,,,,,,,
,335,,11,,,,,,,,0.11541633307933807,0.9664804339408875,,,,,,,,,
0.9375,339,0.17327481508255005,12,,,,,,,,,,,,,,,,,,
0.96875,349,0.10926318168640137,12,,,,,,,,,,,,,,,,,,
0.953125,359,0.18474310636520386,12,,,,,,,,,,,,,,,,,,
,363,,12,0.4665052461662631,0.632777750492096,0.8525073746312685,4.1789422035217285,0.3211111111111111,0.6223962962962963,0.632777750492096,,,,,,,,,,,
,363,,12,,,,,,,,0.11621692031621933,0.964804470539093,,,,,,,,,
0.9375,369,0.13877326250076294,13,,,,,,,,,,,,,,,,,,
0.96875,379,0.11012417078018188,13,,,,,,,,,,,,,,,,,,
0.9375,389,0.12956753373146057,13,,,,,,,,,,,,,,,,,,
,391,,13,0.48344880677444185,0.6272222399711609,0.7869674185463659,3.4930226802825928,0.3488888888888889,0.6612716049382716,0.6272222399711609,,,,,,,,,,,
,391,,13,,,,,,,,0.09950359165668488,0.9687150716781616,,,,,,,,,
0.984375,399,0.06509373337030411,14,,,,,,,,,,,,,,,,,,
0.96875,409,0.06468407064676285,14,,,,,,,,,,,,,,,,,,
0.9838709235191345,419,0.05738147720694542,14,,,,,,,,,,,,,,,,,,
,419,,14,0.47208931419457734,0.6322222352027893,0.8361581920903954,4.263855457305908,0.3288888888888889,0.6291012345679012,0.6322222352027893,,,,,,,,,,,
,419,,14,,,,,,,,0.10575281083583832,0.9681563973426819,,,,,,,,,
0.984375,429,0.09597421437501907,15,,,,,,,,,,,,,,,,,,
0.96875,439,0.08097130805253983,15,,,,,,,,,,,,,,,,,,
,447,,15,0.4614134849715678,0.6316666603088379,0.8580060422960725,4.575931549072266,0.31555555555555553,0.6138617283950616,0.6316666603088379,,,,,,,,,,,
,447,,15,,,,,,,,0.08979392796754837,0.97318434715271,,,,,,,,,
0.984375,449,0.053386762738227844,16,,,,,,,,,,,,,,,,,,
0.96875,459,0.04327066242694855,16,,,,,,,,,,,,,,,,,,
0.984375,469,0.06682371348142624,16,,,,,,,,,,,,,,,,,,
,475,,16,0.4755804643714972,0.6361111402511597,0.8510028653295129,4.496153831481934,0.33,0.6322141975308643,0.6361111402511597,,,,,,,,,,,
,475,,16,,,,,,,,0.08801069855690002,0.9709497094154358,,,,,,,,,
1.0,479,0.047497253865003586,17,,,,,,,,,,,,,,,,,,
1.0,489,0.027217887341976166,17,,,,,,,,,,,,,,,,,,
0.984375,499,0.03845571354031563,17,,,,,,,,,,,,,,,,,,
,503,,17,0.46639676113360323,0.6338889002799988,0.8597014925373134,4.712283134460449,0.32,0.6273006172839506,0.6338889002799988,,,,,,,,,,,
,503,,17,,,,,,,,0.07641388475894928,0.9770949482917786,,,,,,,,,
1.0,509,0.03594588860869408,18,,,,,,,,,,,,,,,,,,
1.0,519,0.028709791600704193,18,,,,,,,,,,,,,,,,,,
0.984375,529,0.04836592078208923,18,,,,,,,,,,,,,,,,,,
,531,,18,0.47641886490807356,0.6361111402511597,0.8490028490028491,4.616997718811035,0.33111111111111113,0.641358024691358,0.6361111402511597,,,,,,,,,,,
,531,,18,,,,,,,,0.0701906681060791,0.9787709712982178,,,,,,,,,
1.0,539,0.026109421625733376,19,,,,,,,,,,,,,,,,,,
1.0,549,0.015066600404679775,19,,,,,,,,,,,,,,,,,,
0.9677419066429138,559,0.10180987417697906,19,,,,,,,,,,,,,,,,,,
,559,,19,0.46526655896607433,0.6322222352027893,0.8520710059171598,4.900047302246094,0.32,0.6271543209876543,0.6322222352027893,,,,,,,,,,,
,559,,19,,,,,,,,0.06514233350753784,0.9821228981018066,,,,,,,,,
0.984375,569,0.08541522920131683,20,,,,,,,,,,,,,,,,,,
0.984375,579,0.06445804238319397,20,,,,,,,,,,,,,,,,,,
,587,,20,0.4645161290322581,0.6311110854148865,0.8470588235294118,4.967332363128662,0.32,0.6264753086419753,0.6311110854148865,,,,,,,,,,,
,587,,20,,,,,,,,0.06252551823854446,0.9826815724372864,,,,,,,,,
0.96875,589,0.06466872245073318,21,,,,,,,,,,,,,,,,,,
0.953125,599,0.15191136300563812,21,,,,,,,,,,,,,,,,,,
0.96875,609,0.06263493746519089,21,,,,,,,,,,,,,,,,,,
,615,,21,0.47030497592295345,0.6333333253860474,0.846820809248555,4.8846235275268555,0.32555555555555554,0.634195061728395,0.6333333253860474,,,,,,,,,,,
,615,,21,,,,,,,,0.06000276654958725,0.9826815724372864,,,,,,,,,
1.0,619,0.02571134828031063,22,,,,,,,,,,,,,,,,,,
0.96875,629,0.08752266317605972,22,,,,,,,,,,,,,,,,,,
1.0,639,0.020097317174077034,22,,,,,,,,,,,,,,,,,,
,643,,22,0.4715316760224539,0.6338889002799988,0.8472622478386167,4.896852016448975,0.32666666666666666,0.6349858024691358,0.6338889002799988,,,,,,,,,,,
,643,,22,,,,,,,,0.05719808489084244,0.9849162101745605,,,,,,,,,
0.984375,649,0.06469579041004181,23,,,,,,,,,,,,,,,,,,
0.984375,659,0.05165799707174301,23,,,,,,,,,,,,,,,,,,
0.984375,669,0.07894033938646317,23,,,,,,,,,,,,,,,,,,
,671,,23,0.472,0.6333333253860474,0.8428571428571429,4.860319137573242,0.3277777777777778,0.6384246913580247,0.6333333253860474,,,,,,,,,,,
,671,,23,,,,,,,,0.05596190318465233,0.9837988615036011,,,,,,,,,
0.96875,679,0.0891389474272728,24,,,,,,,,,,,,,,,,,,
0.984375,689,0.03381487727165222,24,,,,,,,,,,,,,,,,,,
0.9677419066429138,699,0.10325893759727478,24,,,,,,,,,,,,,,,,,,
,699,,24,0.472,0.6333333253860474,0.8428571428571429,4.868430137634277,0.3277777777777778,0.6378975308641975,0.6333333253860474,,,,,,,,,,,
,699,,24,,,,,,,,0.05545752868056297,0.9837988615036011,,,,,,,,,
,700,,25,,,,,,,,,,0.04888888888888889,306.0,14.285714149475098,0.08808808808808809,0.4444444444444444,0.49388888478279114,0.6369919180870056,0.6879074074074074,0.2895228862762451
